chrom,start,end,KR,VC,VC_SQRT,weight,counts
chr1,0,1000000,,0.0,0.0,,0
chr1,1,2000000,,0.0,0.0,,1
chr1,2,3000000,,0.0,0.0,,2
chr1,3,4000000,0.8413744283406998,0.8141782652685912,0.8854981516643791,0.004760395030007553,3
chr1,4,5000000,1.0683686021706444,1.0937403745813108,1.026325285567392,0.0038096308805855078,4
chr1,5,6000000,0.9607080705240878,0.9811734811809498,0.9720773134352462,0.004568428756125432,5
chr1,6,7000000,1.0196313698622044,1.046596392918323,1.003962574386786,0.003963635314531198,6
chr1,7,8000000,0.9605115726019096,0.9622931958651348,0.9626792572694772,0.004444494547674976,7
chr1,8,9000000,0.8740929653665556,0.8623434162094773,0.911313980196112,0.005248516433938085,8
chr1,9,10000000,1.0540371595710425,1.096463492655707,1.027602127670462,0.0035614709363523595,9
chr1,10,11000000,1.0308604136764359,1.0925376640984523,1.0257608409635564,0.0036972823616546547,10
chr1,11,12000000,1.0261158124245178,1.0972010038008562,1.0279476661353522,0.004241115489812625,11
chr1,12,13000000,1.091239728062798,1.1866667788700875,1.0690359223839698,0.0037121489153442455,12
chr1,13,14000000,1.1070276891818671,1.2053882156315627,1.0774357394794876,0.0033725381936950873,13
chr1,14,15000000,0.9952662214906044,1.0509079965361174,1.006028432674398,0.0041595759236212025,14
chr1,15,16000000,1.014186099982166,1.066543232813277,1.0134845650421864,0.0039807330752933,15
chr1,16,17000000,1.0669658922483192,1.1263383671968974,1.0415073657878466,0.0037010478690044477,16
chr1,17,18000000,0.9590019511824012,0.977951124792914,0.970479759250378,0.004271231422933268,17
chr1,18,19000000,0.918641284320452,0.9151265215515274,0.938790049394938,0.004281963499300171,18
chr1,19,20000000,0.9360298894114616,0.9423236633195612,0.9526381186259499,0.004436748815885814,19
chr1,20,21000000,1.0177585270505112,1.0582377226863675,1.009530689744122,0.0038503235979409187,20
chr1,21,22000000,1.08444120441821,1.145490964320152,1.050325091582935,0.0036842090455179674,21
chr1,22,23000000,0.970217013697998,1.006691366803106,0.9846368355370274,0.004160360171824214,22
chr1,23,24000000,1.017891449204102,1.0613352694959937,1.0110070988476396,0.003750046832660699,23
chr1,24,25000000,1.0563469493698692,1.0963159904266773,1.0275330060337766,0.0036790685447147587,24
chr1,25,26000000,0.9427755042314848,0.945568712358217,0.9542769931986832,0.004302075763354853,25
chr1,26,27000000,0.8787724945198203,0.8483193581263359,0.9038733785004636,0.004701804885364391,26
chr1,27,28000000,0.8909831761605002,0.8553654261438366,0.9076193636067016,0.004736423794710212,27
chr1,28,29000000,0.8980223286557214,0.8614924418112284,0.9108642195404564,0.004707279956331496,28
chr1,29,30000000,0.8444251183207617,0.8088681850235182,0.8826058132910651,0.005016445979423744,29
chr1,30,31000000,0.9875322996547464,0.9847929589548352,0.9738686242876003,0.004054222948290445,30
chr1,31,32000000,0.959120451111166,0.9605458617673972,0.961804842593658,0.004432787469057567,31
chr1,32,33000000,0.9101926439141058,0.9109624201627629,0.9366517253318004,0.004539891920213266,32
chr1,33,34000000,1.092706034077864,1.1704982653033589,1.0617280566004108,0.003151353995673426,33
chr1,34,35000000,1.078868151471577,1.1900252911618432,1.0705476498400497,0.003289040051029862,34
chr1,35,36000000,1.0800628746028773,1.1954601809853258,1.0729894805260851,0.003489405664576483,35
chr1,36,37000000,1.1309278656562771,1.285039419307657,1.112464425002186,0.003342503733732926,36
chr1,37,38000000,1.1174617708837729,1.2684170527285292,1.105245976945527,0.003456906066188914,37
chr1,38,39000000,1.0947015866866212,1.2320974654112673,1.0893073620402849,0.0033246433833267236,38
chr1,39,40000000,1.1538916805016977,1.318408962044323,1.1268159350015978,0.003232865604873912,39
chr1,40,41000000,1.114289434519113,1.2433530201187724,1.094271613960491,0.0033601782498340967,40
chr1,41,42000000,1.0212351110105025,1.1051093925419155,1.031645627364892,0.003998665450520765,41
chr1,42,43000000,1.1274799829855982,1.2455428609035994,1.0952348264971097,0.0034908726991392247,42
chr1,43,44000000,1.1389775084926916,1.258863446817522,1.1010758019107527,0.0032337239648677577,43
chr1,44,45000000,0.9522551463253984,0.985621240702464,0.9742780850072236,0.004187329351493373,44
chr1,45,46000000,0.9698967474958085,0.9857460502808738,0.9743397696497244,0.0030370933861815835,45
chr1,46,47000000,0.9185783707686592,0.9178836786018536,0.9402032118660809,0.004293581619403972,46
chr1,47,48000000,0.949767937165944,0.9374220507856478,0.9501572560702892,0.004601823447752294,47
chr1,48,49000000,0.8562323805111766,0.8303467788353197,0.8942473448525817,0.005311081573902972,48
chr1,49,50000000,0.9350985332947616,0.9233753000518864,0.9430115962254488,0.004582276065045399,49
chr1,50,51000000,0.9342728481079318,0.9511964897119696,0.9571125836653632,0.004539361482457793,50
chr1,51,52000000,1.135489107628863,1.2342986525214044,1.0902799715218916,0.0033764470280802103,51
chr1,52,53000000,1.1039738637489724,1.2239054185374585,1.085679994976989,0.003449059274532139,52
chr1,53,54000000,1.0680928337088524,1.1757629602471922,1.0641131105769268,0.0038690486573401397,53
chr1,54,55000000,1.108475243146519,1.2324945867971169,1.0894828970161428,0.0035049295875684053,54
chr1,55,56000000,1.1106029934645163,1.2244727348029574,1.0859315881772316,0.0033770103889529967,55
chr1,56,57000000,0.9631008223494544,1.0257985786251207,0.9939372182880071,0.004231258462391304,56
chr1,57,58000000,1.1486133020377047,1.2819191798474112,1.1111130014548702,0.003376326145465789,57
chr1,58,59000000,1.1064109256339374,1.2539164489823684,1.0989102050397963,0.003489167757448724,58
chr1,59,60000000,1.1416861586852443,1.308549005349946,1.1225944804382388,0.0031752640401502825,59
chr1,60,61000000,1.117686749925198,1.2599640403725905,1.101557018590828,0.003221491629608248,60
chr1,61,62000000,1.0419032196882303,1.1438911324514442,1.0495913753325392,0.0040777071106147065,61
chr1,62,63000000,1.1148645821957246,1.2435005223478022,1.0943365201910014,0.0036378358646775685,62
chr1,63,64000000,1.1530767582107329,1.3213816992755392,1.1280855871621036,0.003145772971958098,63
chr1,64,65000000,1.1596025780971717,1.316899900778095,1.1261708691715206,0.003363954405100357,64
chr1,65,66000000,0.9943505205927654,1.0540736212976032,1.0075425108943696,0.0038141521492116885,65
chr1,66,67000000,0.9749600341855554,1.0090060171663429,0.985768156183066,0.004006101555871366,66
chr1,67,68000000,0.9292583481109048,0.931987160962165,0.9473988898671122,0.0042553876952220755,67
chr1,68,69000000,0.8534322801450891,0.8365759114305015,0.8975953299279819,0.005131190396177122,68
chr1,69,70000000,0.9754580589035636,0.9951975392640912,0.9789996881687568,0.004226981149768379,69
chr1,70,71000000,0.9738888665884616,1.02616166103504,0.9941131052506804,0.004422333652861563,70
chr1,71,72000000,1.171557866144554,1.3177849141522735,1.1265492232454144,0.0033661358799726283,71
chr1,72,73000000,1.2407587152275257,1.4523750249793157,1.182680109418702,0.003004587917877516,72
chr1,73,74000000,1.1014157477124522,1.2612688677832389,1.1021272609979575,0.003677173911381892,73
