chr10	100282258	chr10	132725560
chr10	100622637	chr10	119486556
chr10	100725874	chr10	119439379
chr10	101247151	chr10	101236891
chr10	101603531	chr6	148167152
chr10	101646702	chr10	101179763
chr10	10211469	chr10	10221068
chr10	102392490	chr10	102355916
chr10	102824028	chr10	102833709
chr10	102926102	chr10	123444547
chr10	103044157	chr10	102907782
chr10	103460685	chr10	103282317
chr10	103491964	chr17	82410343
chr10	103540151	chr10	73861114
chr10	10377954	chr18	30858416
chr10	104020379	chr7	151528676
chr10	104287334	chr10	104290145
chr10	104793673	chr6	134898116
chr10	105898886	chr22	41547198
chr10	105960985	chr10	109024127
chr10	105966613	chr9	98116302
chr10	107401966	chr10	107062577
chr10	107423569	chr10	107549699
chr10	108114198	chr10	106382742
chr10	108114199	chr10	106382742
chr10	10818699	chr17	62042288
chr10	108757917	chr10	108439395
chr10	109778098	chr1	63959425
chr10	109914710	chr5	43224333
chr10	110657728	chr10	110645451
chr10	111443129	chr10	111407231
chr10	111726027	chrX	98415320
chr10	112375358	chr10	112597221
chr10	112424045	chr10	112411786
chr10	112863313	chrY	16087815
chr10	113315886	chr7	72667030
chr10	113684009	chr6	64395786
chr10	113749037	chr10	113750311
chr10	11405734	chr14	60676955
chr10	114059414	chr10	113814822
chr10	114476187	chr10	114277649
chr10	114525467	chr10	84593349
chr10	114577344	chr17	43664087
chr10	114781229	chr11	115424657
chr10	114840030	chr10	114869285
chr10	115222431	chr10	121986701
chr10	115598693	chr10	114607483
chr10	115987886	chr10	111680343
chr10	11662856	chr10	28223212
chr10	116744536	chr14	36517077
chr10	11684199	chr10	11763368
chr10	117385627	chr10	117426077
chr10	117609362	chr1	187694837
chr10	117938765	chr18	55754521
chr10	118571935	chr6	83486998
chr10	118753849	chr10	67975622
chr10	118818246	chrX	123653434
chr10	118969093	chr10	118620940
chr10	11935285	chr13	66363639
chr10	120045277	chr10	89161595
chr10	120229484	chr16	11558965
chr10	120300997	chr10	120292153
